==========================================================================================
  Bezetting Check Report
==========================================================================================
  Totaal records                  : 19554
  Records met parsebare bezetting : 3363
  Vergeleken met RDW              : 1432
  RDW data ontbreekt              : 1931
  Onjuist geformatteerde bezetting: 0
  Buiten range (1-12)             : 0
  Bezetting != RDW zitplaatsen    : 255
  Bezetting > RDW zitplaatsen     : 152
  RDW zitplaatsen > bezetting     : 103

------------------------------------------------------------------------------------------
  Verdeling bezetting
------------------------------------------------------------------------------------------
   1 personen : 11
   2 personen : 149
   3 personen : 43
   4 personen : 108
   5 personen : 789
   6 personen : 262
   7 personen : 1091
   8 personen : 407
   9 personen : 496
  10 personen : 6
  11 personen : 1

------------------------------------------------------------------------------------------
  Onjuist geformatteerde bezetting
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Buiten range (1-12)
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Verschil: bezetting hoger dan RDW zitplaatsen
------------------------------------------------------------------------------------------
  Roepnummer   | Kenteken   | Bezetting |           RDW
  04-DB0016    | 96-KTX-7   |         3 |             9
  04-DB0019    | 31-STX-2   |         3 |             9
  04-DB0010    | 61-TTF-1   |         7 |             8
  04-1940      | 10-BBD-1   |         7 |             8
  04-1003      | VD-328-G   |         3 |             6
  04-2833      | BD-411-J   |         7 |            50
  GEEN         | PZ-855-B   |         2 |             5
  GEEN         | 26-SJP-5   |         5 |             7
  05-9486      | VS-999-L   |         2 |             3
  05-9203      | J-498-BT   |         5 |             7
  06-1301      | JTP-35-H   |         7 |             8
  06-1941      | BR-LH-30   |         7 |             8
  06-2341      | 13-BHS-7   |         7 |             8
  06-3201      | G-821-KV   |         7 |             8
  06-3231      | 16-BGT-6   |         7 |             8
  06-7136      | BX-LZ-90   |         2 |             8
  06-7146      | BR-BZ-42   |         8 |             9
  06-5141      | BT-RL-13   |         7 |             8
  06-5161      | 63-BKS-2   |         8 |            57
  GEEN         | 79-VXJ-8   |         2 |             7
  07-1441      | 33-BFK-1   |         7 |             8
  07-1641      | 57-BDT-7   |         7 |             8
  07-9042      | 36-BFK-1   |         7 |             8
  07-1931      | 55-BDT-7   |         7 |             8
  07-2141      | 70-BXZ-5   |         6 |             7
  07-2341      | 76-BXP-5   |         6 |             7
  07-7102      | P-178-JP   |         7 |             8
  07-PM        | V-407-NR   |         2 |             3
  07-5001      | PX-029-Z   |         7 |             9
  08-9031      | BV-PZ-49   |         7 |             8
  08-4281      | V-78-HRH   |         5 |             6
  09-0380      | 75-LT-NL   |         6 |             9
  09-2380      | 21-TZ-RS   |         5 |             9
  09-2701      | 11-ZDH-9   |         8 |             9
  09-3632      | BX-JB-16   |         7 |             8
  09-8131      | 08-BVD-8   |         6 |             7
  09-5131      | 62-BTG-6   |         6 |             7
  09-6601      | 7-ZSL-80   |         8 |             9
  09-8501      | VPJ-10-V   |         2 |             3
  09-7631      | BV-XS-73   |         7 |             8
  10-4203      | JTT-55-D   |         7 |             9
  10-4204      | T-112-SV   |         8 |             9
  10-4207      | JTT-54-D   |         7 |             9
  10-4381      | 28-TN-LD   |         7 |             9
  10-6933      | BR-XR-15   |         7 |             9
  10-4803      | ZK-143-B   |         7 |             9
  10-4901      | 95-JJH-4   |         7 |             9
  10-5008      | K-554-BH   |         8 |             9

==========================================================================================
